Node,word,frequency_word,shortest_path,degree_centrality,betweenness_centrality,closeness_centrality,clustering_coefficient,eigenvector_centrality,Class_degree_centralitylow,Class_degree_centralitymedium,Class_degree_centralityhigh,Class_betweenness_centralitylow,Class_betweenness_centralitymedium,Class_betweenness_centralityhigh,Class_closeness_centralitylow,Class_closeness_centralitymedium,Class_closeness_centralityhigh,Class_clustering_coefficientlow,Class_clustering_coefficientmedium,Class_clustering_coefficienthigh,Class_eigenvector_centralitylow,Class_eigenvector_centralitymedium,Class_eigenvector_centralityhigh
8,comportment,1,"[626, 615, 170, 527, 924, 8]",0.004310344827586207,0.0003863420325062995,0.24859362443075275,0.023809523809523808,0.0010748818031970197,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
133,communication,0,"[626, 652, 256, 133]",0.008620689655172414,0.018328139288089455,0.2598711845421451,0.01020408163265306,0.0010535396313517628,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0
893,produce,0,"[626, 615, 373, 458, 568, 893]",0.004310344827586207,1.0553610798000357e-05,0.2260107160253288,0.023809523809523808,0.0010370581985687508,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0
311,algebras,1,"[626, 615, 646, 579, 42, 311]",0.004310344827586207,0.000308161070145515,0.24693986162852583,0.023809523809523808,0.00103087571136865,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
638,polynomialtime,1,"[626, 615, 841, 638]",0.004310344827586207,0.00025075087254425836,0.2564244266371926,0.023809523809523808,0.001027438116908897,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
59,arithmetic,1,"[626, 652, 92, 59]",0.004310344827586207,0.00040003236123812387,0.2614821076359538,0.023809523809523808,0.0010261619405466194,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
676,random,1,"[626, 615, 841, 676]",0.004310344827586207,0.00075167553428727,0.2564244266371926,0.023809523809523808,0.0010185354050585526,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
266,algorithms,5,"[626, 615, 373, 30, 107, 266]",0.008620689655172414,0.0009420086081377226,0.24344176285414482,0.01020408163265306,0.0010127028257417207,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0
595,pace,1,"[626, 615, 373, 840, 595]",0.0075431034482758615,0.0003053329754549586,0.25306790291791653,0.020498150112425152,0.0010079871610027982,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0
58,probability,1,"[626, 615, 373, 840, 58]",0.004310344827586207,0.0005824103299587358,0.2725403817914831,0.023809523809523808,0.0010020794857927423,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
564,density,1,"[626, 615, 373, 840, 564]",0.004310344827586207,0.00015269762145007194,0.26859623733719246,0.023809523809523808,0.0010000187773735755,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
683,cap,1,"[626, 615, 373, 840, 683]",0.004310344827586207,6.325936527040168e-05,0.24872688287322434,0.023809523809523808,0.0009998466791452127,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
470,graphic,2,"[626, 615, 610, 468, 553, 470]",0.020474137931034482,0.017751219125415947,0.25994397759103643,0.008505471446724581,0.0009905224134872767,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0
724,test,1,"[626, 615, 841, 190, 724]",0.004310344827586207,0.00023468253555640258,0.2525170068027211,0.025872389284879945,0.0009890730020135387,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
372,question,1,"[626, 615, 646, 579, 464, 372]",0.004310344827586207,7.416100524320535e-05,0.24779706275033378,0.023809523809523808,0.0009875912963261207,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
872,circle,2,"[626, 615, 373, 465, 346, 872]",0.01293103448275862,0.00830567666514828,0.25763464741810105,0.007402540440039591,0.0009823575201596277,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0
96,cartesian,1,"[626, 615, 373, 539, 868, 96]",0.004310344827586207,5.552624097220306e-05,0.2464152947424323,0.025872389284879945,0.0009754205148859757,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
587,various,1,"[626, 615, 373, 840, 587]",0.004310344827586207,0.00031275857057110333,0.25176342919153555,0.023809523809523808,0.0009686189568124531,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
435,equate,1,"[626, 615, 373, 840, 660, 435]",0.004310344827586207,5.175132273676194e-05,0.2401656314699793,0.03380889722138788,0.0009685317250218741,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0
212,imfnand,1,"[626, 615, 373, 465, 391, 212]",0.004310344827586207,0.00032542133772836665,0.2501347708894879,0.025872389284879945,0.0009663941255304777,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
644,card,2,"[626, 615, 373, 573, 635, 644]",0.0075431034482758615,0.006346975050563894,0.2506753106428957,0.01931936984079307,0.0009648400607926821,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0
92,physical,2,"[626, 652, 92]",0.008620689655172414,0.006143579321127556,0.2600896860986547,0.01020408163265306,0.0009646831360679844,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0
525,intel,4,"[626, 615, 373, 573, 635, 525]",0.01293103448275862,0.008837602580683744,0.253551912568306,0.012691751536734491,0.0009617926801532019,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0
2,certain,1,"[626, 615, 646, 500, 113, 2]",0.004310344827586207,7.241455147152769e-05,0.24388961892247044,0.023809523809523808,0.0009559010275311503,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
590,bad,0,"[626, 615, 373, 30, 246, 263, 590]",0.004310344827586207,3.842082107352714e-05,0.23553299492385787,0.035255948970693715,0.000955612431957884,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0
600,concern,0,"[626, 652, 92, 289, 600]",0.004310344827586207,0.0009288108835974443,0.268053148469093,0.028471436920382533,0.0009542390127577007,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0
336,ofxxaar,1,"[626, 615, 170, 527, 123, 336]",0.003232758620689655,1.936525992688753e-05,0.23547323014463334,0.05404002610794189,0.000949212499235987,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0
431,sandwich,0,"[626, 615, 373, 840, 13, 431]",0.004310344827586207,0.0004161642768438683,0.2454377148902407,0.02793525476023608,0.0009464532979680251,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0
53,intelligence,3,"[626, 615, 841, 190, 53]",0.011853448275862068,0.01127291089455856,0.2649157864687411,0.014495112398079458,0.0009464319014489342,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0
886,sh,1,"[626, 615, 373, 30, 530, 886]",0.004310344827586207,0.0004915003972787121,0.25196850393700787,0.023809523809523808,0.0009400563594417688,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
609,positive,1,"[626, 615, 373, 465, 391, 609]",0.004310344827586207,0.0005498383334420084,0.24700558956614319,0.030294607879620156,0.0009375519202179749,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0
24,otherwise,1,"[626, 615, 646, 579, 334, 24]",0.004310344827586207,0.0005063089199692064,0.21646839281548869,0.023809523809523808,0.0009226485978906859,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0
44,dec,1,"[626, 615, 373, 30, 900, 44]",0.004310344827586207,0.002113280275752584,0.24242424242424243,0.030294607879620156,0.0009115636097145828,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0
581,intake,2,"[626, 615, 373, 30, 246, 263, 581]",0.00646551724137931,8.957678258090493e-05,0.2358322744599746,0.027047117777110306,0.000906963400843769,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0
367,akar,1,"[626, 652, 92, 289, 779, 367]",0.004310344827586207,0.00025206867991510034,0.2513542795232936,0.023809523809523808,0.000890784257370051,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
612,loglogzdzp,1,"[626, 652, 751, 423, 720, 612]",0.004310344827586207,2.3795509140337676e-05,0.22190339550454327,0.05089005211808712,0.0008899282500346341,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0
548,nificantly,1,"[626, 615, 646, 500, 548]",0.004310344827586207,0.0007446807145467894,0.24440347642875954,0.023809523809523808,0.000882640103070731,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
371,mascheroni,1,"[626, 615, 170, 527, 277, 449, 371]",0.004310344827586207,0.00014087007859226036,0.24986537425955843,0.023809523809523808,0.0008825570440035362,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
789,implement,0,"[626, 615, 841, 190, 789]",0.004310344827586207,0.00023669476576368244,0.25026968716289105,0.023809523809523808,0.0008736465691905251,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
185,monitor,0,"[626, 615, 373, 573, 635, 185]",0.004310344827586207,0.0007316833756003601,0.2564244266371926,0.023809523809523808,0.0008633073420677919,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
813,multiplying,2,"[626, 615, 373, 465, 56, 813]",0.004310344827586207,0.001067377242224194,0.2538987688098495,0.023809523809523808,0.0008607169696089399,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
406,professor,2,"[626, 652, 92, 289, 779, 406]",0.005387931034482759,0.00011631505951255301,0.19540955990734893,0.03508173429358484,0.0008351335424093701,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0
187,non,1,"[626, 615, 373, 30, 46, 187]",0.004310344827586207,0.00013019772083876682,0.2308457711442786,0.025872389284879945,0.000829452344304404,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
673,estimate,1,"[626, 615, 373, 30, 530, 673]",0.004310344827586207,0.0006218392524959288,0.2551553478141325,0.025872389284879945,0.0008162988309992407,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
303,validation,1,"[626, 615, 373, 30, 536, 785, 303]",0.004310344827586207,0.0007864735325959699,0.22896619787811498,0.023809523809523808,0.0008143145144225852,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
202,reasonably,1,"[626, 615, 373, 30, 694, 202]",0.004310344827586207,0.00018757442437776934,0.24414627729544858,0.023809523809523808,0.0008123284097690836,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
115,journal,2,"[626, 615, 841, 190, 115]",0.008620689655172414,0.0035022535097841215,0.25685026293938557,0.014047484778732775,0.0008117678713999721,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0
764,terminal,1,"[626, 615, 373, 840, 764]",0.004310344827586207,0.000104783154796814,0.2537599124965819,0.04174540515789582,0.0008103852496541013,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0
550,rotation,1,"[626, 615, 373, 458, 568, 550]",0.004310344827586207,1.4587291502108345e-05,0.22606577344701584,0.023809523809523808,0.0008090878128747116,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0
754,rithms,1,"[626, 615, 646, 579, 819, 754]",0.004310344827586207,0.000337545327193151,0.24293193717277486,0.023809523809523808,0.0007996323040694788,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
882,monthly,1,"[626, 652, 92, 289, 158, 882]",0.004310344827586207,0.00044792947254129734,0.2377658211632078,0.023809523809523808,0.0007969571613475068,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
